sv,phylum,class,order,family,genus,species
sv-162:U282-2_S368_L001_001,Proteobacteria,Gammaproteobacteria,Enterobacterales,Enterobacteriaceae,Enterobacter/Klebsiella,Enterobacter hormaechei
sv-163:U148-1_S53_L001_001,Firmicutes,Clostridia,Clostridiales,Lachnospiraceae,Lachnoclostridium,[Clostridium] aldenense
sv-164:U423-7_S165_L001_001,Proteobacteria,Alphaproteobacteria,Rhodospirillales,Rhodospirillaceae,,
sv-165:U151-5_S134_L001_001,Firmicutes,Clostridia,Clostridiales,Eubacteriaceae,Eubacterium,Eubacterium ventriosum
sv-167:U614-4_S140_L001_001,Proteobacteria,Alphaproteobacteria,Rhodospirillales,Rhodospirillaceae,,
sv-168:U156-1_S89_L001_001,Firmicutes,Erysipelotrichia,Erysipelotrichales,Erysipelotrichaceae,Turicibacter,Turicibacter sanguinis
sv-169:U422-5_S203_L001_001,Firmicutes,Clostridia,Clostridiales,Lachnospiraceae,Lachnoclostridium,[Clostridium] clostridioforme
sv-170:U169-2_S122_L001_001,Firmicutes,Clostridia,Clostridiales,Lachnospiraceae,Coprococcus,Coprococcus eutactus
sv-171:U726-8_S140_L001_001,Proteobacteria,Betaproteobacteria,Burkholderiales,Sutterellaceae,Sutterella,
sv-172:U627-6_S232_L001_001,Firmicutes,Clostridia,Clostridiales,Lachnospiraceae,Anaerobutyricum,
sv-173:U432-6_S63_L001_001,Bacteroidetes <Bacteroidetes>,Bacteroidia,Bacteroidales,Prevotellaceae,Prevotella,Prevotella copri
sv-174:U532-8_S99_L001_001,Firmicutes,Clostridia,Clostridiales,,,
sv-175:U628-6_S268_L001_001,Firmicutes,Negativicutes,Veillonellales,Veillonellaceae,Veillonella,Veillonella parvula/rogosae
sv-176:U489-2_S275_L001_001,Bacteroidetes <Bacteroidetes>,Bacteroidia,Bacteroidales,Rikenellaceae,Alistipes,Alistipes finegoldii
sv-177:U713-2_S51_L001_001,Firmicutes,Erysipelotrichia,Erysipelotrichales,Erysipelotrichaceae,Catenibacterium,Catenibacterium mitsuokai
sv-179:U464-8_S243_L001_001,Firmicutes,Clostridia,Clostridiales,Ruminococcaceae,Ruminococcus,Ruminococcus faecis
sv-180:U093-6_S37_L001_001,Actinobacteria <actinobacteria>,Actinobacteria <high GC Gram+>,Bifidobacteriales,Bifidobacteriaceae,Bifidobacterium,Bifidobacterium bifidum
sv-181:U328-3_S374_L001_001,Bacteroidetes <Bacteroidetes>,Bacteroidia,Bacteroidales,Rikenellaceae,Alistipes,
sv-182:U529-9_S105_L001_001,Bacteroidetes <Bacteroidetes>,Bacteroidia,Bacteroidales,Barnesiellaceae,Barnesiella,Barnesiella intestinihominis
sv-183:U756-8_S281_L001_001,Firmicutes,Clostridia,Clostridiales,Lachnospiraceae,Tyzzerella/Coprococcus,Coprococcus_phoceensis/Tyzzerella_nexilis
sv-184:U387-2_S367_L001_001,Firmicutes,Clostridia,Clostridiales,Lachnospiraceae,Lachnoclostridium,Lachnoclostridium edouardi
sv-185:U305-1_S373_L001_001,Bacteroidetes <Bacteroidetes>,Bacteroidia,Bacteroidales,Bacteroidaceae,Bacteroides,Bacteroides salyersiae
sv-186:U135-7_S140_L001_001,Bacteroidetes <Bacteroidetes>,Bacteroidia,Bacteroidales,Barnesiellaceae,Barnesiella,
sv-187:U386-3_S375_L001_001,Proteobacteria,Betaproteobacteria,Burkholderiales,Sutterellaceae,Sutterella,
sv-188:U627-7_S304_L001_001,Bacteroidetes <Bacteroidetes>,Bacteroidia,Bacteroidales,Bacteroidaceae,Bacteroides,Bacteroides kribbi/ovatus
sv-189:U650-4_S186_L001_001,Firmicutes,Clostridia,Clostridiales,,Lawsonibacter,Lawsonibacter asaccharolyticus
sv-190:U557-4_S324_L001_001,Firmicutes,Bacilli,Lactobacillales,Streptococcaceae,Streptococcus,Streptococcus parasanguinis
sv-193:U385-2_S298_L001_001,Firmicutes,Negativicutes,Veillonellales,Veillonellaceae,Dialister,
sv-194:U217-5_S374_L001_001,Firmicutes,Clostridia,Clostridiales,Clostridiaceae,Clostridium,Clostridium disporicum
sv-195:U746-4_S112_L001_001,Proteobacteria,Betaproteobacteria,Burkholderiales,Sutterellaceae,Sutterella,
sv-196:U680-1_S58_L001_001,Bacteroidetes <Bacteroidetes>,Bacteroidia,Bacteroidales,Bacteroidaceae,Bacteroides,Bacteroides coprophilus
sv-197:U504-6_S49_L001_001,,,,,,
sv-198:U426-2_S277_L001_001,Firmicutes,Clostridia,Clostridiales,Oscillospiraceae,Marseillibacter,
sv-199:U436-1_S268_L001_001,Firmicutes,Clostridia,Clostridiales,Lachnospiraceae,Blautia,Blautia obeum
sv-200:U781-5_S286_L001_001,Firmicutes,Clostridia,Clostridiales,Ruminococcaceae,Ruminococcus,
sv-201:U747-4_S9_L001_001,Bacteroidetes <Bacteroidetes>,Bacteroidia,Bacteroidales,Bacteroidaceae,Bacteroides,Bacteroides vulgatus
sv-203:U388-1_S322_L001_001,Firmicutes,Clostridia,Clostridiales,Eubacteriaceae,,
sv-205:U526-7_S293_L001_001,Firmicutes,Clostridia,Clostridiales,Ruminococcaceae,,[Clostridium] leptum
sv-207:U392-1_S57_L001_001,Firmicutes,Clostridia,Clostridiales,Ruminococcaceae,,
sv-208:U448-4_S52_L001_001,Firmicutes,Clostridia,Clostridiales,Clostridiaceae/Ruminococcaceae,,
sv-209:U284-4_S260_L001_001,Bacteroidetes <Bacteroidetes>,Bacteroidia,Bacteroidales,Barnesiellaceae,Barnesiella,
sv-210:U740-4_S239_L001_001,Firmicutes,Clostridia,Clostridiales,Lachnospiraceae,Lachnoclostridium,
sv-211:U137-1_S113_L001_001,Firmicutes,Clostridia,Clostridiales,Ruminococcaceae,Anaeromassilibacillus,
sv-213:U316-4_S362_L001_001,Firmicutes,Clostridia,Clostridiales,Ruminococcaceae,Ruminococcus,Ruminococcus callidus
sv-214:U366-1_S326_L001_001,Firmicutes,Clostridia,Clostridiales,Lachnospiraceae,,
sv-215:U650-2_S56_L001_001,Firmicutes,Clostridia,Clostridiales,Lachnospiraceae,Blautia,
sv-216:U583-8_S100_L001_001,Firmicutes,Clostridia,Clostridiales,Lachnospiraceae,Tyzzerella,
sv-217:U238-1_S15_L001_001,Firmicutes,Clostridia,Clostridiales,Ruminococcaceae,Ruthenibacterium,Ruthenibacterium lactatiformans
sv-218:U162-6_S86_L001_001,Bacteroidetes <Bacteroidetes>,Bacteroidia,Bacteroidales,Prevotellaceae,Prevotella,Prevotella copri
sv-219:U387-2_S367_L001_001,Firmicutes,Clostridia,Clostridiales,Lachnospiraceae,,
